store_id,store_name,store_street_address,store_city,store_state,store_zip,store_country,store_phone,store_lat,store_long
1,Anchorage Store,7405 Debarr Road,Anchorage,AK,99504,US,907-339-9039,61.211988,-149.743184
2,Kenai Store,10096 Kenai Spur Hwy,Kenai,AK,99611,US,907-395-0971,60.564195,-151.225131
3,Tuscaloosa Store,1501 Skyland Blvd E,Tuscaloosa,AL,35405,US,205-750-0823,33.165251,-87.518548
4,Batesville Store,3150 Harrison St,Batesville,AR,72501,US,870-793-9004,35.762696,-91.614278
5,Safford Store,755 S 20th Ave,Safford,AZ,85546,US,928-428-7990,32.832703,-109.730199
6,Escondido Store,1330 East Grand Avenue,Escondido,CA,92027,US,760-871-6622,33.130137,-117.062977
7,Sacramento Neighborhood Market,4420 Florin Rd,Sacramento,CA,95823,US,916-533-0942,38.494354,-121.454151
8,Pueblo Store,4200 Dillon Dr,Pueblo,CO,81008,US,719-545-6404,38.313974,-104.60963
9,Manchester Store,420 Buckland Hills Dr,Manchester,CT,6042,US,860-644-5100,41.806569,-72.537633
10,Washington Store,310 Riggs Road Ne,Washington,DC,20011,US,202-756-4418,38.957531,-77.002461
11,Dover Store,36 Jerome Drive,Dover,DE,19901,US,302-674-2159,39.216724,-75.570866
12,Winter Garden Store,16313 New Independence Parkway,Winter Garden,FL,34787,US,407-554-0182,28.476488,-81.629452
13,Cocoa Store,2700 Clearlake Rd,Cocoa,FL,32922,US,321-639-1610,28.395378,-80.753116
14,Quincy Store,1940 Pat Thomas Pkwy,Quincy,FL,32351,US,850-875-1661,30.556986,-84.595535
15,Sylvester Store,1102 E Franklin,Sylvester,GA,31791,US,229-463-6004,31.5257909,-83.8117412
16,Cochran Store,366 Hwy 26 East,Cochran,GA,31014,US,478-934-4919,32.400301,-83.336257
17,Grovetown Neighborhood Market,5303-a Wrightsboro Rd,Grovetown,GA,30813,US,762-383-6528,33.455443,-82.207958
18,Mililani Store,95-550 Lanikuhana Ave,Mililani,HI,96789,US,808-623-6744,21.450001,-158.00557
19,Pearl City Store,1131 Kuala St,Pearl City,HI,96782,US,808-454-8785,21.397174,-157.974452
20,Muscatine Store,3003 N Highway 61,Muscatine,IA,52761,US,563-263-8312,41.457702,-91.025199
21,Marshalltown Store,2802 S Center St,Marshalltown,IA,50158,US,641-753-7846,42.012119,-92.908946
22,Anamosa Store,101 115th St,Anamosa,IA,52205,US,319-462-4311,42.099218,-91.264296
23,Boise Store,8300 W Overland Rd,Boise,ID,83709,US,208-321-9077,43.592826,-116.284808
24,Fort Wayne Store,10105 Lima Rd,Fort Wayne,IN,46818,US,260-490-6510,41.176255,-85.169186
25,Coffeyville Store,1863 Cr 5300,Coffeyville,KS,67337,US,620-251-4113,37.042359,-95.579038
26,Junction City Store,521 E Chestnut St,Junction City,KS,66441,US,785-238-8229,39.018965,-96.820674
27,Pittsburg Store,2710 N Broadway St,Pittsburg,KS,66762,US,620-232-1593,37.433957,-94.702301
28,Louisville Store,2020 Bashford Manor Ln,Louisville,KY,40218,US,502-451-6766,38.199176,-85.667473
29,Louisville Store,4840 Outer Loop,Louisville,KY,40219,US,502-313-6351,38.135649,-85.671851
30,Morgan City Store,973 Highway 90 E,Morgan City,LA,70380,US,985-395-2094,29.683712,-91.267157
31,Hanover Store,1775 Washington St,Hanover,MA,2339,US,781-826-0606,42.147708,-70.84266
32,Raynham Store,160 Broadway,Raynham,MA,2767,US,508-692-6046,41.935116,-71.08582
33,Hagerstown Store,17850 Garland Groh Blvd,Hagerstown,MD,21740,US,301-714-1373,39.658092,-77.74905
34,Prince Frederick Store,150 Solomons Island Rd N,Prince Frederick,MD,20678,US,410-535-3790,38.540822,-76.591415
35,Falmouth Store,206 Us Rt 1,Falmouth,ME,4105,US,207-781-3879,43.720249,-70.235287
36,Mexico Store,258 River Rd,Mexico,ME,4257,US,207-364-2557,44.538526,-70.516879
37,Brewer Store,24 Walton Dr,Brewer,ME,4412,US,207-989-5068,44.774335,-68.732304
38,Saint Johns Store,1165 Superior Dr,Saint Johns,MI,48879,US,989-224-8099,42.978689,-84.538647
39,Alma Store,7700 N Alger Rd,Alma,MI,48801,US,989-463-6770,43.4034976,-84.6641673
40,Cadillac Store,8917 E 34 Rd,Cadillac,MI,49601,US,231-775-8778,44.284128,-85.3986136
41,Brooklyn Center Store,1200 Shingle Creek Crossing,Brooklyn Center,MN,55430,US,763-354-1941,45.0563683,-93.3162617
42,Blaine Store,11505 Ulysses St Ne,Blaine,MN,55434,US,763-354-1979,45.1797455,-93.2390135
43,Carthage Store,2705 Grand Ave,Carthage,MO,64836,US,417-358-3000,37.141958,-94.313292
44,Byram Store,131 Handley Boulevard,Byram,MS,39272,US,769-237-4314,32.185505,-90.264498
